Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
[NDSS 2012] SMART - Secure and Minimal Architecture for (Establishing Dynamic) Root of Trust.	https://www.ndss-symposium.org/ndss2012/smart-secure-and-minimal-architecture-establishing-dynamic-root-trust	embedded
[NDSS 2013] When Firmware Modifications Attack - A Case Study of Embedded Exploitation.	https://www.ndss-symposium.org/ndss2013/when-firmware-modifications-attack-case-study-embedded-exploitation	embedded	firmware
[NDSS 2014] AVATAR - A Framework to Support Dynamic Security Analysis of Embedded Systems' Firmwares.	https://www.ndss-symposium.org/ndss2014/avatar-framework-support-dynamic-security-analysis-embedded-systems-firmwares	embedded	firmware
[NDSS 2015] DeepDroid - Dynamically Enforcing Enterprise Policy on Android Devices.	https://www.ndss-symposium.org/ndss2015/deepdroid-dynamically-enforcing-enterprise-policy-android-devices	firmware
[NDSS 2015] Firmalice - Automatic Detection of Authentication Bypass Vulnerabilities in Binary Firmware.	https://www.ndss-symposium.org/ndss2015/firmalice-automatic-detection-authentication-bypass-vulnerabilities-binary-firmware	embedded	firmware
[NDSS 2016] Are these Ads Safe - Detecting Hidden Attacks through the Mobile App-Web Interfaces.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/ads-safe-detecting-hidden-attacks-through-mobile-app-web-interfaces.pdf	embedded
[NDSS 2016] Driller - Augmenting Fuzzing Through Selective Symbolic Execution.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/driller-augmenting-fuzzing-through-selective-symbolic-execution.pdf	firmware
[NDSS 2016] Enabling Practical Software-defined Networking Security Applications with OFX.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/enabling-practical-software-defined-networking-security-applications-ofx.pdf	embedded
[NDSS 2016] Extract Me If You Can - Abusing PDF Parsers in Malware Detectors.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/extract-me-if-you-can-abusing-pdf-parsers-malware-detectors.pdf	embedded
[NDSS 2016] Free for All! Assessing User Data Exposure to Advertising Libraries on Android.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/free-for-all-assessing-user-data-exposure-advertising-libraries-android.pdf	embedded
[NDSS 2016] Leakage-Resilient Layout Randomization for Mobile Devices.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/leakage-resilient-layout-randomization-mobile-devices.pdf	embedded
[NDSS 2016] OpenSGX - An Open Platform for SGX Research.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/opensgx-open-platform-sgx-research.pdf	firmware
[NDSS 2016] Towards Automated Dynamic Analysis for Linux-based Embedded Firmware.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/towards-automated-dynamic-analysis-linux-based-embedded-firmware.pdf	embedded	firmware
[NDSS 2016] What Mobile Ads Know About Mobile Users.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/what-mobile-ads-know-about-mobile-users.pdf	embedded
[NDSS 2016] discovRE - Efficient Cross-Architecture Identification of Bugs in Binary Code.	https://www.ndss-symposium.org/wp-content/uploads/2017/09/discovre-efficient-cross-architecture-identification-bugs-binary-code.pdf	firmware
